2019-05-09 15:52:29,822 | WARN  | Network connection between vm://localhost#644 and unconnected shutdown due to a remote error: java.util.concurrent.TimeoutException | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=unconnected, localBroker= vm://localhost#644
2019-05-09 15:52:29,828 | INFO  | Connector vm://localhost stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ BrokerService[localhost] Task-12
2019-05-09 15:52:29,829 | INFO  | localhost bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[localhost] Task-12
2019-05-09 15:52:30,825 | INFO  | Establishing network connection from vm://localhost?async=false&create=false to failover:(tcp://172.28.0.2:61616,tcp://172.28.0.4:61616)?randomize=false&maxReconnectAttempts=0 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-1
2019-05-09 15:52:30,829 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-1
2019-05-09 15:52:36,957 | ERROR | Failed to connect to [tcp://172.28.0.2:61616, tcp://172.28.0.4:61616] after: 1 attempt(s) | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2019-05-09 15:52:36,962 | WARN  | Network connection between vm://localhost#646 and unconnected shutdown due to a remote error: java.util.concurrent.TimeoutException | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=unconnected, localBroker= vm://localhost#646
2019-05-09 15:52:36,974 | INFO  | Connector vm://localhost stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ BrokerService[localhost] Task-14
2019-05-09 15:52:36,976 | INFO  | localhost bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[localhost] Task-14
2019-05-09 15:52:37,968 | INFO  | Establishing network connection from vm://localhost?async=false&create=false to failover:(tcp://172.28.0.2:61616,tcp://172.28.0.4:61616)?randomize=false&maxReconnectAttempts=0 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-1
2019-05-09 15:52:37,969 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-1
2019-05-09 15:52:44,123 | ERROR | Failed to connect to [tcp://172.28.0.2:61616, tcp://172.28.0.4:61616] after: 1 attempt(s) | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2019-05-09 15:52:44,127 | WARN  | Network connection between vm://localhost#648 and unconnected shutdown due to a remote error: java.util.concurrent.TimeoutException | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=unconnected, localBroker= vm://localhost#648
2019-05-09 15:52:44,132 | INFO  | Connector vm://localhost stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ BrokerService[localhost] Task-12
2019-05-09 15:52:44,133 | INFO  | localhost bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[localhost] Task-12
2019-05-09 15:52:45,129 | INFO  | Establishing network connection from vm://localhost?async=false&create=false to failover:(tcp://172.28.0.2:61616,tcp://172.28.0.4:61616)?randomize=false&maxReconnectAttempts=0 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-1
2019-05-09 15:52:45,132 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-1
2019-05-09 15:52:51,260 | ERROR | Failed to connect to [tcp://172.28.0.2:61616, tcp://172.28.0.4:61616] after: 1 attempt(s) | org.apache.activemq.transport.failover.FailoverTransport | ActiveMQ Task-1
2019-05-09 15:52:51,266 | WARN  | Network connection between vm://localhost#650 and unconnected shutdown due to a remote error: java.util.concurrent.TimeoutException | org.apache.activemq.network.DemandForwardingBridgeSupport | triggerStartAsyncNetworkBridgeCreation: remoteBroker=unconnected, localBroker= vm://localhost#650
2019-05-09 15:52:51,278 | INFO  | Connector vm://localhost stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ BrokerService[localhost] Task-13
2019-05-09 15:52:51,280 | INFO  | localhost bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[localhost] Task-13
