2019-05-08 13:47:16,657 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Wed May 08 13:47:16 UTC 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-05-08 13:47:17,338 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2019-05-08 13:47:17,346 | INFO  | Database /data/activemq/kahadb/lock is locked by another server. This broker is now in slave mode waiting a lock to be acquired | org.apache.activemq.store.SharedFileLocker | main
2019-05-08 13:48:07,388 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2019-05-08 13:48:07,470 | INFO  | Recovering from the journal @1:96679 | org.apache.activemq.store.kahadb.MessageDatabase | main
2019-05-08 13:48:07,474 | INFO  | Recovery replayed 45 operations from the journal in 0.077 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2019-05-08 13:48:07,486 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-05-08 13:48:07,494 | INFO  | Scheduler Store version 1 loaded | org.apache.activemq.store.kahadb.scheduler.JobSchedulerKahaDBMetaData | main
2019-05-08 13:48:07,603 | INFO  | Recovering from the scheduled job journal @1:820 | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2019-05-08 13:48:07,604 | INFO  | Recovery replayed 1 operations from the journal in 0.001 seconds. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2019-05-08 13:48:07,606 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2019-05-08 13:48:07,795 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:9810d76e7317-35034-1557323287500-1:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-05-08 13:48:07,815 | INFO  | Listening for connections at: tcp://9810d76e7317:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-05-08 13:48:07,818 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-05-08 13:48:07,824 | INFO  | Listening for connections at: amqp://9810d76e7317:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-05-08 13:48:07,826 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
